"table";"forder";"field";"label[FR]";"ftype";"fcount";"target";"compulsory";"browsable";"multivalued";"published";"queryable";"translatable";"options[checkbox]";"options[readonly]"
;;;;;;;;;;;;;;
"CAPAGLOB";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"CAPAGLOB";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_CAPAGLOB";1;1;;1;1;;0;
"CAPAGLOB";3;"att_type";"Type de la capacité globale";"XLinkDef";;"tzrprefix_LS_CapaciteGlobale";1;1;;1;1;;0;
;;;;;;;;;;;;;;
"DC";1;"tzr_type";"Données en provenance de";"XShortTextDef";255;;1;1;;;1;;;
"DC";2;"dc__title";"Nom";"XShortTextDef";255;;1;1;;1;1;;;
"DC";3;"dc__description";"Description";"XTextDef";60;;;1;;;;1;;
"DC";4;"dcterms__abstract";"Résumé";"XTextDef";60;;;1;;;;1;;
"DC";5;"dc__date";"Date";"XDateDef";;;;1;;;1;;;
"DC";6;"dcterms__created";"Date de création";"XDateDef";;;;1;;;;;;
"DC";7;"dcterms__valid";"Date de fin de validité";"XDateDef";;;;1;;;;;;
"DC";8;"dcterms__modified";"Date de modification";"XDateDef";;;;1;;;;;;
"DC";9;"dc__identifier";"Identifiant de la ressource";"XShortTextDef";100;;1;1;;1;1;;;
"DC";10;"ModePaiement";"Mode de paiment";"XLinkDef";;"tzrprefix_LS_ModePaiement";;1;1;;;;0;
"DC";11;"ObservationModePaiement";"Observations mode de paiement";"XTextDef";60;;;;;;;1;;
"DC";12;"CapacitesGlobales";"Capacité globale";"XLinkDef";;"tzrprefix_CAPAGLOB";;1;;;;;0;
"DC";13;"Classification";"Classification";"XLinkDef";;"tzrprefix_LS_Classification";;;1;;1;;;
"DC";14;"ControlledVocabulary";"Vocabulaire";"XLinkDef";;"tzrprefix_LS_ContrVoc";;;1;;1;;;
"DC";15;"acvs__ClassificationCategorie";"Classification catégorie";"XLinkDef";;"tzrprefix_LS_Classification";;;1;;1;;;
"DC";16;"acvs__ClassificationGroupe";"Classification groupe";"XLinkDef";;"tzrprefix_LS_Classification";;;1;;1;;;
"DC";17;"acvs__ClassificationSousCategorie";"Classification sous catégorie";"XLinkDef";;"tzrprefix_LS_ContrVoc";;;1;;1;;;
"DC";18;"gitd_typep";"Type de prestation";"XLinkDef";;"tzrprefix_LS_ContrVoc";;;1;;1;;;
"DC";19;"gitd_enfants";"Enfants";"XBoolDef";;;;;;;1;;;
