"table";"forder";"field";"label[FR]";"ftype";"fcount";"target";"compulsory";"browsable";"multivalued";"published";"translatable";"queryable"
"LS_CapaciteUnites";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_CapaciteUnites";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_CapaciteUnites";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_DistanceUnite";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_DistanceUnite";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_DistanceUnite";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_DureeUnite";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_DureeUnite";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_DureeUnite";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_SuperficiesUnites";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_SuperficiesUnites";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_SuperficiesUnites";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Classification";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Classification";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Classification";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_ContrVoc";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_ContrVoc";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_ContrVoc";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Multimedia";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Multimedia";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Multimedia";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Civilite";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Civilite";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Civilite";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_MoyensCom";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_MoyensCom";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_MoyensCom";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Contact";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Contact";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Contact";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Personne";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Personne";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Personne";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_ModeGestion";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_ModeGestion";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_ModeGestion";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
