14.02.01;Abris pour vélo ou VTT;
14.02.02;Accompagnement;
14.02.03;Auditorium;
14.02.04;Banquet;
14.02.05;Conférences;
14.02.06;Entrée indépendante;
14.02.07;Expositions;
14.02.08;Garage;
14.02.09;Garderie;
14.02.10;Hébergement;
14.02.11;Jardin commun;
14.02.12;Jardin indépendant;
14.02.13;Parking;
14.02.14;Plain Pied;
14.02.15;Restaurant;
14.02.16;Salle d'eau commune;
14.02.17;Salle d'eau privée;
14.02.18;Salle d'exposition;
14.02.19;Salle de bain commune;
14.02.20;Salle de bain privée;|EXPTE|
14.02.21;Salle de jeux;|GOLF||GOLF||GOLF||GOLF|
14.02.22;Salle de projection;|LOCVE|
14.02.23;Salle de réception;
14.02.24;Salle de réunion;
14.02.25;Salle de réunion équipée;
14.02.26;Salle de séminaire;
14.02.27;Salle de spectacle;
14.02.28;Salon de jardin;
14.02.29;Sanitaire commun;
14.02.30;Sanitaire privé;
14.02.31;Séminaires;|PECH||PECHE||PECH||PECHE|
14.02.32;Terrasse balcon;
14.02.33;Toilette séparée;
