08.02.03.01;A la campagne;|CAM|
08.02.03.02;A proximité d'un aéroport;|AER|
08.02.03.03;A proximité d'un établissement thermal;
08.02.03.04;A proximité d'une autoroute;|AUT|
08.02.03.05;A proximité d'une route nationale;|RN|
08.02.03.06;Au bord de la mer;|MER|
08.02.03.07;Bord de lac ou de plan d'eau (Bord de lac);|LAC|
08.02.03.08;Bord de rivière;|RIV|
08.02.03.09;En centre ville;|CVI|
08.02.03.10;En forêt;|FOR|
08.02.03.11;En montagne;|MON|
08.02.03.12;En ville;|VIL|
08.02.03.13;Périphérie de la ville (Périphérie de ville);|PVI|
08.02.03.14;Pied des pistes;|PIS|
08.02.03.15;Quartier gare;|GAR|
08.02.03.16;Sur une île;|ILE|
