13.02.01;Access;|ACS|
13.02.02;American Express;|AMX|
13.02.03;Bons CAF;|CAF|
13.02.04;Carte bleue;|CB|
13.02.05;Carte de crédit;
13.02.06;Carte JCB;|JCB|
13.02.07;Cartes de paiement;|CPT|
13.02.08;Chèque;
13.02.09;Cheques bancaires et postaux;|CHQ|
13.02.10;Chèques de voyage;|VAC||VOY|
13.02.11;Chèques Vacances;
13.02.12;Devises;|DEV|
13.02.13;Diners Club;|DC|
13.02.14;Espèce;|ESP|
13.02.15;Eurocard - Mastercard;|EM|
13.02.16;Eurocheques;|EC|
13.02.17;Mandats internationaux;|MDT|
13.02.18;Virements;|VIR|
13.02.19;Visa;|VSA|
13.02.20;WestCard;|WC|
