06.01;Agréments;
06.02.01.01;Airotels de France;|AEROT|
06.02.01.02;Les étapes André Trigano;|ANTRI|
06.02.01.03;Les Campéanoles;|CAMPE|
06.02.01.04;Castels et Camping Caravaning;|CASTF|
06.02.01.05;Chadotel;|CHAD|
06.02.01.06;Les Huttes de France;|HUTFR|
06.02.01.07;Campasun / ILD le Derby;|ILD|
06.02.01.08;Sites et Paysages de France;|SITPA|
06.02.02.01;Première Classe;|C1CL|
06.02.02.02;Agil Hôtels;|CAGIL|
06.02.02.03;Arcantis;|CARCA|
06.02.02.04;Balladins;|CBALA|
06.02.02.05;Best Western;|CBEST|
06.02.02.06;Bonsaï Hôtels;|CBONS|
06.02.02.07;Campanile;|CCAMP|
06.02.02.08;Châteaux de France;|CCHAT|
06.02.02.09;Clarion;|CCLAR|
06.02.02.10;Climat de France;|CCLIM|
06.02.02.11;Comfort Hotel;|CCONF|
06.02.02.12;Etap Hotel;|CETAP|
06.02.02.13;Eurostar Hotusa;|CEURO|
06.02.02.14;Formule 1;|CF1|
06.02.02.15;Fastotel;|CFAST|
06.02.02.16;Les Grandes Etapes Françaises;|CGETA|
06.02.02.17;Golden Tulip;|CGOLT|
06.02.02.18;Hilton;|CHILT|
06.02.02.19;Holiday Inn;|CHOLI|
06.02.02.20;Hyatt;|CHYA|
06.02.02.21;Ibis;|CIBIS|
06.02.02.22;Inter-continental Hôtels;|CINCO|
06.02.02.23;Comfort Inn;|CINN|
06.02.02.24;Interhôtels;|CINTE|
06.02.02.25;Kyriad;|CKYRI|
06.02.02.26;Leading hotels of the world;|CLH|
06.02.02.27;Libertel;|CLIB|
06.02.02.28;Logis de France;|CLOGF|
06.02.02.29;Lucien Barrière;|CLUCB|
06.02.02.30;Marmotte;|CMARM|
06.02.02.31;Marriott;|CMART|
06.02.02.32;Melia;|CMELI|
06.02.02.33;Mercure;|CMERC|
06.02.02.34;Méridien;|CMERI|
06.02.02.35;Millenium Commodore;|CMILL|
06.02.02.36;Novotel;|CNOVO|
06.02.02.37;Nuit d'Hotel;|CNUIT|
06.02.02.38;Concorde;|CONC|
06.02.02.39;Quality Inn;|CQUAL|
06.02.02.40;Relais et Châteaux;|CRELA|
06.02.02.41;Relais du Silence;|CRELS|
06.02.02.42;Small Luxury Hotel;|CSLH|
06.02.02.43;Sofitel;|CSOF|
06.02.02.44;Hôtel Star;|CSTAR|
06.02.02.45;Timhôtel;|CTIM|
06.02.02.46;Tonic hotel;|CTONI|
06.02.02.47;Hôtels unis de France;|CUNIS|
