"btab";"bname[FR]";"translatable";"auto_translate";"own";"publish"
"DC";"Ressources";1;0;0;0
"DMULTIMEDIA";"Détails multimédia";1;0;0;0
"DCONTACT";"Détails contact";1;0;0;0
"DADRESSE";"Détails adresse";1;0;0;0
"DPERSONNE";"Détails personnes";1;0;0;0
"DMOYENCOM";"Détails moyens de communication";1;0;0;0
"INFOLEG";"Informations légales";1;0;0;0
"DCLASSEMENT";"Détails classement";1;0;0;0
"DGEOLOC";"Détails géolocalisation";1;0;0;0
"ZONES";"Zones";1;0;0;0
"DPOINT";"Détails point";1;0;0;0
"DCOOR";"Détails coordonnées de points";1;0;0;0
"DENV";"Détails environnement";1;0;0;0
"DCARTE";"Détails carte";1;0;0;0
"DACCES";"Détails accès";1;0;0;0
"DPERIODE";"Détail période";1;0;0;0
"DDATE";"Détails date";1;0;0;0
"DJOURS";"Détails jours";1;0;0;0
"JOURS";"Jours";1;0;0;0
"HORAIRES";"Horaires";1;0;0;0
"DCLIENTELES";"Détails clientèles";1;0;0;0
"DCLIENT";"Détail client";1;0;0;0
"USAGE";"Usage";1;0;0;0
"DMODERESA";"Détails mode de réservation";1;0;0;0
"MODESPAIEMENT";"Modes de paiement";1;0;0;0
"DTARIF";"Détails tarif";1;0;0;0
"CAPACAPA";"Capacités : capacités";1;0;0;0
"CAPASUP";"Capacités : superficies";1;0;0;0
"CAPAGLOB";"Capacités globales";1;0;0;0
"DCAPAPREST";"Capacité prestation";1;0;0;0
"DCAPAUNIT";"Détails capacité unité";1;0;0;0
"DDISP";"Détails disposition";1;0;0;0
"DOFFREPRESTA";"Détails offre de prestation";1;0;0;0
"DPRESTA";"Détails prestation";1;0;0;0
"DDESCRCOMP";"Détails description complémentaire";1;0;0;0
"DITI";"Détails itinéraire";1;0;0;0
"DPLANNING";"Détail planning";1;0;0;0
"DPRESTAPLA";"Détail prestation planning";1;0;0;0
"JOURPLA";"Jour de planning";1;0;0;0
"PRESTLIEE";"Prestations liées";1;0;0;0
