"btab";"bname[FR]";"translatable";"auto_translate";"own";"publish"
"LS_CapaciteUnites";"LS_CapaciteUnites";1;1;0;0
"LS_DistanceUnite";"LS_DistanceUnite";1;1;0;0
"LS_DureeUnite";"LS_DureeUnite";1;1;0;0
"LS_SuperficiesUnites";"LS_SuperficiesUnites";1;1;0;0
"LS_Classification";"LS_Classification";1;1;0;0
"LS_ContrVoc";"LS_ControlledVocabulary";1;1;0;0
"LS_Multimedia";"LS_Multimedia";1;1;0;0
"LS_Civilite";"LS_Civilite";1;1;0;0
"LS_MoyensCom";"LS_MoyensCom";1;1;0;0
"LS_Contact";"LS_Contact";1;1;0;0
"LS_Personne";"LS_Personne";1;1;0;0
"LS_ModeGestion";"LS_ModeGestion";1;1;0;0
"LS_TypeClassement";"LS_TypeClassement";1;1;0;0
"LS_Classement";"LS_Classement";1;1;0;0
"LS_PrestationLiee";"LS_PrestationLiee";1;1;0;0
"LS_Geolocalisation";"LS_Geolocalisation";1;1;0;0
"LS_Carte";"LS_Carte";1;1;0;0
"LS_Coordonnees";"LS_Coordonnees";1;1;0;0
"LS_Environnement";"LS_Environnement";1;1;0;0
"LS_ZoneNoms";"LS_ZoneNoms";1;1;0;0
"LS_Point";"LS_Point";1;1;0;0
"LS_Acces";"LS_Acces";1;1;0;0
"LS_Zone";"LS_Zone";1;1;0;0
"LS_Periode";"LS_Periode";1;1;0;0
"LS_Jour";"LS_Jour";1;1;0;0
"LS_Jours";"LS_Jours";1;1;0;0
"LS_Clienteles";"LS_Clienteles";1;1;0;0
"LS_Client";"LS_Client";1;1;0;0
"LS_Usage";"LS_Usage";1;1;0;0
"LS_ModeReservation";"LS_ModeReservation";1;1;0;0
"LS_Devises";"LS_Devises";1;1;0;0
"LS_ModePaiement";"LS_ModePaiement";1;1;0;0
"LS_TarifMode";"LS_TarifMode";1;1;0;0
"LS_Tarifs";"LS_Tarifs";1;1;0;0
"LS_MontantPourcent";"LS_MontantPourcent";1;1;0;0
"LS_CapaciteGlobale";"LS_CapaciteGlobale";1;1;0;0
"LS_CapacitePrest";"LS_CapacitePrestation";1;1;0;0
"LS_TypeBatiment";"LS_TypeBatiment";1;1;0;0
"LS_Unite";"LS_Unite";1;1;0;0
"LS_Disposition";"LS_Disposition";1;1;0;0
"LS_OffrePrestation";"LS_OffrePrestation";1;1;0;0
"LS_Prestation";"LS_Prestation";1;1;0;0
"LS_DescrComp";"LS_DescriptionComplementaire";1;1;0;0
"LS_Description";"LS_Description";1;1;0;0
"LS_ThesaurusOrigine";"LS_ThesaurusOrigine";1;1;0;0
"LS_Denivele";"LS_Denivele";1;1;0;0
"LS_Itineraires";"LS_Itineraires";1;1;0;0
"LS_Planning";"LS_Planning";1;1;0;0
"LS_Pays";"LS_Pays";1;1;0;0
"LS_Commune";"LS_Commune";0;0;0;0
"LS_EtatPlanning";"LS_EtatPlanning";1;1;0;0
